Coal or metal,Commodity,Mine name,Mine type,Operator,Operator ID,State,Status
M ,"Crushed, Broken Stone NEC ",Newberg Rock & Dirt,Surface,Newberg Rock & Dirt  ,3503598,OR,Active 
M ,Construction Sand and Gravel ,Allied Dirt Moving Co Pit & Plant,Surface,Allied Dirt Moving Company  ,0502030,CO,Abandoned 
M ,Construction Sand and Gravel ,AM Dirtworks & Aggregate Sales,Surface,AM Dirtworks & Aggregate Sales  ,4801789,ND,Abandoned 
C ,Coal (Bituminous) ,Unit Train Loading Facility,Facility,Atlas-Dirty Devil Mining  ,4201449,UT,Abandoned 
C ,Coal (Bituminous) ,Blackie Surface Mine & Prep Plant,Surface,Atlas-Dirty Devil Mining  ,4201450,UT,Abandoned 
M ,Construction Sand and Gravel ,"Hitt Pit, Inc.",Surface,Babe's Dirt Work  ,1002257,ID,Abandoned 
M ,Construction Sand and Gravel ,Bar-Lin Dirt Pit,Surface,Bar-Lin Dirt Company  ,1601167,LA,Abandoned 
M ,Construction Sand and Gravel ,Barber'S Dirt Pit,Surface,Barber'S Dirt Pit  ,4103265,TX,Abandoned 
M ,Construction Sand and Gravel ,BENDER SAND & DIRT,Surface,Bender Sand & Dirt  ,1401575,KS,Intermittent 
M ,Construction Sand and Gravel ,BERT'S DIRT,Surface,BERT'S DIRT  ,1700776,ME,Abandoned 
M ,Construction Sand and Gravel ,Dorothy V Pit,Surface,Big D Dirt Service Inc  ,1601251,LA,Abandoned 
M ,Construction Sand and Gravel ,Big Red Dirt Farm,Surface,Big Red Dirt Farm LLC  ,0301963,AR,Abandoned 
M ,Construction Sand and Gravel ,Big River Dirt Pit,Surface,Big River Dirt Pit  ,1601082,LA,Abandoned 
M ,Construction Sand and Gravel ,Harris Pit,Surface,Bob Harris Dirt Contracting  ,3401751,OK,Abandoned 
M ,Construction Sand and Gravel ,BOHANNON SAND & DIRT,Surface,Bohannon Sand & Dirt  ,1600916,LA,Abandoned 
